lat,lon,regiao
  -8.650116, -42.637875, nordeste
  -8.890493, -43.594130, nordeste
  -4.101203, -41.713199, nordeste
  -2.504430, -43.022477, nordeste
  -7.192727, -47.140204, nordeste
  -3.858658, -32.416300, nordeste
  -12.792088, -41.412337, nordeste
  -17.971460, -38.701454, nordeste
  -2.802911, -40.483671, nordeste
  -9.988145, -46.001330, nordeste
  -14.398974, -40.108375, nordeste
  -10.007567, -41.999844, nordeste
  -10.823892, -37.404584, nordeste
  -8.538246, -37.238347, nordeste
  -5.051979, -37.511872, nordeste
  -15.157384, -39.340463, nordeste
  -16.365156, -40.006854, nordeste
  -16.495105, -39.264378, nordeste
  -16.867331, -39.264757, nordeste
  -17.009915, -39.347960, nordeste
  -14.901799, -45.792256, nordeste